mwe_template	semantic_tags
kærlighedshistorier_NOUN patience_NOUN with_ADP	E3-
kærlighedshistorie_NOUN *_DET cool_NOUN	E3-
udtrykke_VERB kærlighed_NOUN på_ADP en_DET overdreven_ADJ eller_CONJ sentimental_ADJ måde_NOUN	B2-/X1
sande_ADJ fakta_NOUN eller_CONJ relevante_ADJ oplysninger_NOUN om_ADP noget_PRON	X5.2-
ikke_ADV udførlig_ADJ prangende_ADJ eller_CONJ intensiv_ADJ beskeden_ADJ eller_CONJ tilbageholdende_ADJ	E3-
skud_NOUN hvor_PRON kameraet_NOUN er_VERB placeret_VERB lavt_ADV på_ADP den_DET lodrette_ADJ akse_NOUN under_ADP øjenlinjen_NOUN og_CONJ kigger_VERB op_ADV	X3.4- X5.1-
lavt_ADJ blodtryk_NOUN	S1.1.1-
lav_ADJ kvalitet_NOUN	X5.1-
certifikat_NOUN der_PRON tildeles_VERB studerende_NOUN efter_ADP afslutning_NOUN af_ADP sekundær_ADJ uddannelse_NOUN typisk_ADV med_ADP lavere_ADJ karakterer_NOUN	S7.1- X2.5-
lavere_ADJ middel_ADJ klasse_NOUN	S1.1.3- X9.2-
den_DET laveste_ADJ af_ADP de_DET lave_ADJ	B2-/X1
held_NOUN af_ADP lodtrækningen_NOUN	M6/X2.2-
lumbalpunktur_NOUN {PRON/DET} weight_NOUN	N3.6-/A2.1
belastet_ADJ med_ADP	I2.1/S2mf
klumpe_VERB sammen_ADV	I1.2/N5+
klumpe_VERB sammen_ADV	F1-
engangsbeløb_NOUN {ADV} out_ADV	S1.1.3- X9.2-
frokostpause_NOUN {DET} temper_NOUN	E3-
frokostpause_NOUN {INTJ/ADJ/DET/Np} mind_NOUN	B2-/X1
frokosttid_NOUN *_DET cool_NOUN	E3-
lungekræft_NOUN *_DET {ADJ/INTJ} marbles_NOUN	B2-/X1
lure_VERB omkring_ADV	X5.2-
lyve_VERB gennem_ADP tænderne_NOUN	E3-
ligge_VERB omkring_ADV	X3.4- X5.1-
ligge_VERB omkring_ADV	S1.1.1-
ligge_VERB dvale_NOUN	X5.1-
ligge_VERB ned_ADV	M6/X2.2-
lymfefunktionstest_NOUN of_ADP times_NOUN	N6+
lymfeknude_NOUN mouth*_NOUN	Q2.1/S2mf
loung*_* {ADV} lymfekanal_NOUN	K1
lymfesystem_NOUN diner*_NOUN	H2
maskingevær_NOUN life_NOUN	S3.2
maskinlæring_NOUN of_ADP *_DET life_NOUN	E2++
maskinpasser_NOUN song*_NOUN	K2/S3.2
maskindrevet_ADJ stories_NOUN	Q4.1/S3.2
skør_ADJ som_ADP en_DET hattemager_NOUN	Q4.1/S3.2
beslutte_VERB sig_PRON	S3.2
gøre_VERB sig_PRON selv_PRON til_ADP grin_NOUN	Q2.1 N3.7-
lave_VERB rod_NOUN	A11.2-
lave_VERB en_DET ændring_NOUN	C1 Q4.3
tjene_VERB en_DET formue_NOUN	B2-
lave_VERB en_DET note_NOUN	A5.1- A4.1
gøre_VERB en_DET stor_ADJ forskel_NOUN	P1
gøre_VERB en_DET optræden_NOUN	S5+c
gøre_VERB nogen_DET forskel_NOUN	P1c
klare_VERB sig_PRON	A11.1---
gjorde_VERB det_PRON klart_ADJ	B3
gjorde_VERB det_PRON stort_ADJ	X7-
gjorde_VERB det_PRON bedste_ADJ ud_ADP af_ADP	A1.8+
lavet_VERB til_ADP mål_NOUN	S5+
kompenserede_VERB for_ADP	I1.1
besluttede_VERB sig_PRON	T1.3/F1
drog_VERB fordel_NOUN af_ADP	T1.3/F1
gav_VERB mening_NOUN	T1.3/F1
sikrede_VERB sig_PRON	B2-
sikrede_VERB sig_PRON	A10-
lagde_VERB ikke_ADV skjul_NOUN på_ADP	Z4
gjorde_VERB ingen_DET forskel_NOUN	A5.2-
begik_VERB en_DET fejl_NOUN	M6
gjorde_VERB overflødig_ADJ	M6 M8
lykkedes_VERB {ADV} dormant_ADJ	A1.9
forligede_VERB sig_PRON	M1 M8
fandt_VERB vej_NOUN rundt_ADV	B3
gjorde_VERB en_DET indsats_NOUN	B1
fik_VERB håret_NOUN til_ADP at_PART rejse_VERB sig_PRON	B1
gjorde_VERB et_DET indtryk_NOUN	B1
lave_VERB rod_NOUN i_ADP	G3
forsøge_VERB at_PART flygte_VERB	X2.3+/Y2
forsøge_VERB minder*_NOUN	I4/S2mf
have_VERB en_DET betydelig_ADJ effekt_NOUN	O2
gøre_VERB til_ADP grin_NOUN	B2-/X1 S1.2.6-
give_VERB opmærksomhed_NOUN og_CONJ ros_NOUN	X6+
ødelægge_VERB a_DET complete_ADJ and_CCONJ utter_ADJ fool_NOUN of_ADP *_PRON	S1.2.6-
lave_VERB rod_NOUN i_ADP	O4.2-
tiltrække_VERB opmærksomhed_NOUN	A6.1-
sige_VERB de_DET rigtige_ADJ ting_NOUN	I1.1+
have_VERB en_DET betydelig_ADJ effekt_NOUN	Q1.2
få_VERB enderne_NOUN til_ADP at_PART mødes_VERB	A2.1+
behandle_VERB som_ADP uvæsentligt_ADJ	S1.1.3+
stikke_VERB af_PART	A11.1+
fremlægge_VERB en_DET sag_NOUN	A1.2+
opnå_VERB en_DET mulighed_NOUN	E4.1+
opfylde_VERB standarder_NOUN	A10+/Q2.1
udnytte_VERB fuldt_ADV ud_ADV	X9.2+
kompensere_VERB for_ADP tabt_ADJ tid_NOUN	A5.1+++/A2.2
udnytte_VERB effektivt_ADV	A4.2+
blive_VERB venner_NOUN	S1.1.2+
gøre_VERB fremskridt_NOUN	X6+
komme_VERB med_ADP anbefalinger_NOUN	S1.2.2+
gøre_VERB liv_NOUN til_ADP en_DET elendighed_NOUN	X2.5+ S1.2.6+
gøre_VERB til_ADP en_DET mand_NOUN	A7+
lave_VERB lyde_NOUN	A7+
gøre_VERB mere_DET ud_ADP af_ADP	A5.2+
gøre_VERB opmærksom_ADJ på_ADP	A11.1-
kysse_VERB lidenskabeligt_ADV	A5.3-
gøre_VERB mere_DET ud_ADP af_ADP	I3.1-
fedte_VERB for_ADP	A1.1.1
magasinprogram_NOUN {PRON/ADV/Np} up_*	A5.2- B4 N5 S3.1 A1.8+
magisk_ADJ svamp_NOUN	M1
magnetbånd_NOUN *_DET {ADJ/INTJ} effort_NOUN	X8+
forstørrelsesglas_NOUN *_DET {ADJ/INTJ} hair_NOUN stand_VERB on_ADP end_NOUN	E5-
byret_NOUN a*_DET {ADV/ADJ} impression_NOUN	O4.2+
pigenavn_NOUN a_DET {ADJ/INTJ} meal_NOUN of_ADP	T1.3+/A1.1.1
sende_VERB med_ADP posten_NOUN	M1
postkasse_NOUN a_DET {ADJ/INTJ} stab_NOUN at_ADP	X8+
postordre_NOUN a_DET {ADV/ADJ/INTJ} difference_NOUN	A2.1+/A11.2+
masseudsendelse_NOUN a_DET {ADV/ADJ/INTJ} fuss_NOUN of_ADP	E2+
mailliste_NOUN a_DET {ADV/ADJ/INTJ} hash_NOUN of_ADP	X9.2-
hovedret_NOUN a_DET {ADV/ADJ/INTJ} mess_NOUN of_ADP	X9.2- A1.1.2
mainframe_NOUN a_DET {ADV/ADJ/INTJ} splash_NOUN	A11.2+
hovedlinje_NOUN all_DET the_DET right_ADJ noises_NOUN	Q2.2/A5.1+
hovedvej_NOUN all_DET the_DET {ADJ/INTJ} difference_NOUN	A11.1+
mainstream_NOUN ends_NOUN meet_VERB	I1.1
fastland_NOUN light_* of_ADP	E4.1+
underholdsbidrag_NOUN off_ADV	M1
vicevært_NOUN representations_NOUN	Q2.2
beslutte_VERB the_DET {ADJ/INTJ} grade_NOUN	A5.1+
gøre_VERB indtryk_NOUN	N5.1+/A1.5.1
gøre_VERB en_DET bi-linje_NOUN for_ADP	T1.1.2/A2.1
gøre_VERB en_DET bi-linje_NOUN for_ADP	A1.5.1+
få_VERB det_PRON til_ADP at_PART lykkes_VERB	S1.2.1+
tjene_VERB til_ADP livets_NOUN ophold_NOUN	X9.2+
gøre_VERB et_DET måltid_NOUN ud_ADP af_ADP	Q2.2
rode_VERB rundt_ADV	E4.1-
foretage_VERB en_DET ændring_NOUN	S1.2.5+/A2.2
tjene_VERB en_DET formue_NOUN	Q2.2
tage_VERB en_DET note_NOUN	A5.1+/A2.1
gøre_VERB en_DET forskel_NOUN	Q1.1
gøre_VERB en_DET stor_ADJ forskel_NOUN	X3 Q2.2/A5.2- Q1.2 S3.2
gøre_VERB hele_DET forskellen_NOUN	A5.1+/A2.1
få_VERB enderne_NOUN til_ADP at_PART mødes_VERB	S1.1.2+
gøre_VERB nar_NOUN af_ADP	Q4.3
lykkes_VERB sponge*_NOUN	B3/K5.1
opnå_VERB stor_ADJ succes_NOUN	Y2
tage_VERB let_ADV på_ADP	O2/N3.2+
tage_VERB bruddet_NOUN	G2.1c
indhente_VERB tabt_ADJ tid_NOUN	Q2.2/S4-
komme_VERB med_ADP kommentarer_NOUN	Q1.2
give_VERB mening_NOUN	Q1.2/O2 Y2%
gøre_VERB fremskridt_NOUN	I2.2/Q1.2
sikre_VERB sig_PRON	Q1.2
komme_VERB med_ADP anbefalinger_NOUN	Q1.2
lægge_VERB ikke_ADV skjul_NOUN på_ADP	F1
gøre_VERB liv_NOUN helvede_NOUN	Y2
begå_VERB fejl_NOUN	M3 A6.2+
afskedige_VERB road*_NOUN	H3 M3
gøre_VERB opmærksom_ADJ på_ADP	A6.2+
blive_VERB gode_ADJ venner_NOUN igen_ADV	Z2
få_VERB succes_NOUN	G2.1/S4c
smede_VERB mens_SCONJ jernet_NOUN er_VERB varmt_ADJ	S2.2/A1.1.1m
gøre_VERB brug_NOUN af_ADP	Y2
beslutte_VERB sig_PRON	X6+
gøre_VERB nogen_PRON til_ADP grin_NOUN	O4.2+
vise_VERB sig_PRON	N3.8+
gøre_VERB nogen_PRON forskel_NOUN	N3.8+
klare_VERB sig_PRON med_ADP det_PRON man_PRON har_VERB	X8+
gøre_VERB det_PRON klart_ADJ	I1/I3.1
leve_VERB op_ADV til_ADP standarden_NOUN	T1.3+/A1.1.1
få_VERB det_PRON bedste_ADJ ud_ADV af_ADP	O4.2-
kompensere_VERB for_ADP	A6.1-
beslutte_VERB sig_PRON	I1.1+
drage_VERB fordel_NOUN af_ADP	Q1.2
gøre_VERB ingen_DET forskel_NOUN	A2.1+
mak*_* kysse_VERB great_PRON deal_PRON of_ADP difference_NOUN	A2.1+
bevæge_VERB sig_PRON rundt_ADV	A11.1+
gøre_VERB en_DET indsats_NOUN	I1.1
få_VERB hårene_NOUN til_ADP at_PART rejse_VERB sig_PRON	E4.1+
forsøge_VERB at_PART flygte_VERB	X9.2+ M1
mak*_* forsøge_VERB {ADV} big_ADV	X9.2+
få_VERB til_ADP at_PART se_VERB fjollet_ADJ ud_ADV	E4.1+
give_VERB opmærksomhed_NOUN	A2.1+
gøre_VERB dårligt_ADJ	T1.1.2/A2.1
gøre_VERB klodset_ADJ	Q2.1
tiltrække_VERB opmærksomhed_NOUN	X2.5+ S1.2.6+
sige_VERB de_DET rigtige_ADJ ting_NOUN	X9.2+
forlade_VERB hurtigt_ADV	A7+
præsentere_VERB en_DET sag_NOUN	A7+
danne_VERB venskab_NOUN	Q2.2
få_VERB til_ADP at_PART blive_VERB voksen_ADJ	A5.2+
udtrykke_VERB indirekte_ADV	E4.1-
give_VERB mere_ADJ opmærksomhed_NOUN	A5.3-
give_VERB mere_ADJ opmærksomhed_NOUN	I3.1-
vinde_VERB gunst_NOUN	Q1.1
lade_VERB som_ADP om_ADP	A5.2- B4 N5 S3.1 A1.1.1
make_VERB or_CCONJ break_VERB	A1.1.1
makeup_NOUN artist_NOUN	S8+
mak*_VERB forstå_VERB of_ADP	A1.5.1+
make*_* *_DET {INTJ/ADJ/DET} mind*_NOUN udnytte_VERB	X6+
make*_* navigere_VERB complete_ADJ and_CCONJ utter_ADJ fool_NOUN of_ADP *_PRON	S1.2.6-
anstrenge_VERB sig_PRON	S1.1.3+
rejse_VERB hårene_NOUN	A11.1+
træffe_VERB en_DET beslutning_NOUN	A1.2+
gøre_VERB sig_PRON selv_PRON til_ADP grin_NOUN	A10+/Q2.1
make*_* flygte_VERB {ADJ/INTJ} grade_NOUN	A5.1+
make*_* prøve_VERB {ADV/ADJ/INTJ} best_ADJ of_ADP	A5.1+++/A2.2
gøre_VERB til_ADP grin_NOUN	S1.1.2+
give_VERB opmærksomhed_NOUN	X6+
kludre_VERB i_ADP	S1.2.2+
kludre_VERB i_ADP	A11.1-
tiltrække_VERB opmærksomhed_NOUN	X3 Q2.2/A5.2- Q1.2 S3.2
sige_VERB de_DET rigtige_ADJ ting_NOUN	M1
gøre_VERB nogen_DET forskel_NOUN	X8+
klare_VERB sig_PRON	E5-
gøre_VERB det_PRON klart_ADJ	M1
forlade_VERB hurtigt_ADV	X8+
fremlægge_VERB en_DET sag_NOUN	S1.2.6-
nå_VERB den_DET krævede_ADJ standard_NOUN	E2+
bruge_VERB eller_CONJ nyde_VERB	X9.2-
håndtere_VERB en_DET dårlig_ADJ situation_NOUN	X9.2- A1.1.2
kompensere_VERB for_ADP	A11.2+
beslutte_VERB noget_PRON	Q2.2/A5.1+
opnå_VERB en_DET fordel_NOUN	M1
blive_VERB venner_NOUN	Q2.2
gøre_VERB ingen_DET forskel_NOUN	S1.2.1+
lave_VERB lyde_NOUN	S1.2.5+/A2.2
give_VERB mere_DET betydning_NOUN	Q2.2
give_VERB mere_DET betydning_NOUN	A5.1+/A2.1
vinde_VERB gunst_NOUN	A5.1+/A2.1
blive_VERB moden_ADJ	S1.1.2+
kontrolleret_VERB af_ADP mænd_NOUN	A5.4-
tage_VERB kontrol_NOUN over_ADP skib_NOUN	A12-
skabt_VERB af_ADP mennesker_NOUN	B4/S2mf
almindelig_ADJ person_NOUN	X2.1
arbejdskraft_NOUN the_DET {ADJ/INTJ} most_DET of_ADP	N5.1+/A1.5.1
ledelsesrevisor_NOUN *_DET way_NOUN around_ADV	M1
ledelseskonsulentfirmaer_NOUN *_DET {ADJ/INTJ} effort_NOUN	X8+
ledelseskonsulentvirksomhed_NOUN *_DET {ADJ/INTJ} hair_NOUN stand_VERB on_ADP end_NOUN	E5-
ledelseskonsulent_NOUN *_DET {INTJ/ADJ/DET} mind*_NOUN up_ADV	X6+
ledelsesofficer_NOUN a_DET complete_ADJ and_CCONJ utter_ADJ fool_NOUN of_ADP *_PRON	S1.2.6-
ledelsesvidenskab_NOUN a_DET {ADJ/INTJ} run_NOUN for_ADP	M1
ledelsestjenester_NOUN a_DET {ADJ/INTJ} stab_NOUN at_ADP	X8+
ledelsesstruktur_NOUN a_DET {ADV/ADJ/INTJ} fool_NOUN of_ADP	S1.2.6-
ledelsesstudier_NOUN a_DET {ADV/ADJ/INTJ} fuss_NOUN of_ADP	E2+
ledelsestræning_NOUN a_DET {ADV/ADJ/INTJ} hash_NOUN of_ADP	X9.2-
administrerende_ADJ direktør_NOUN	X9.2- A1.1.2
forvaltningsagent_NOUN a_DET {ADV/ADJ/INTJ} splash_NOUN	A11.2+
mandarin_NOUN krave_NOUN	Q2.2/A5.1+
manisk_ADJ depression_NOUN	A11.1+
manisk_ADJ depressiv_ADJ	A1.2+
manna_NOUN fra_ADP himlen_NOUN	A10+/Q2.1
herregård_NOUN off_ADV	M1
arbejdskrafttjenester_NOUN representations_NOUN	Q2.2
palæ_NOUN the_DET {ADJ/INTJ} grade_NOUN	A5.1+
manuel_ADJ fingerfærdighed_NOUN	N5.1+/A1.5.1
manuel_ADJ arbejder_NOUN	A5.1+++/A2.2
for_ADV mange_DET år_NOUN siden_ADV	S1.1.2+
mange_DET gange_NOUN	X6+
for_ADV mange_DET måner_NOUN siden_ADV	S1.2.2+
mange_DET gange_NOUN	S1.2.1+
kortlægge_VERB {ADV} no_DET odds_NOUN	A11.1-
kortmager_NOUN {DET} noises_NOUN	Q2.2
kortlæsning_NOUN {PRON/ADJ} more_DET of_ADP *_PRON	A5.1+/A2.1
marchere_VERB videre_ADV	A5.1+/A2.1
havbiolog_NOUN {PRON/Np} up_ADV to_ADP	S1.1.2+
havbiologi_NOUN {DET} m*n_NOUN of_ADP	S1.2.5+/A2.2
skibsingeniør_NOUN dominated_*	S2.2
man*_* skibsingeniørkunst_NOUN ship_NOUN	I3.1
marineband_NOUN made_*	O4.1
maritimt_ADJ museum_NOUN	S2.2/A6.2+m
nedsætte_VERB power_NOUN	I3.1
forhøje_VERB accountant*_NOUN	I2.1/S2mf
mark_NOUN nummer_NUM	I2.1
nedsættelse_NOUN consultancy_NOUN	I2.1c
hæve_VERB prisen_NOUN	I2.1/S2mf
markedsandel_NOUN officer*_NOUN	I2.1/S2mf
markedsøkonomier_NOUN science_NOUN	I2.1
markedskræfter_NOUN services_NOUN	I2.1c
markedshal_NOUN structure*_NOUN	S7.1+
markedsplads_NOUN studies_NOUN	I2.1/P1
markedsundersøgelse_NOUN training_NOUN	P1/I2.1
markedsbod_NOUN director*_NOUN	S7.1+/S2mf
markedstester_NOUN agent*_NOUN	S7.1+/S2mf
markedsby_NOUN collar*_NOUN	B5
markedsføringsbureauer_NOUN depression_NOUN	B2-/X1
markedsføringsbureau_NOUN depressive*_*	B2-/X1mf
hæve_VERB prisen_NOUN	S8+
ægteskabsattest_NOUN house*_NOUN	H1c
ægteskabsrådgiver_NOUN services_NOUN	I3.1c
ægteskabstilladelse_NOUN house*_NOUN	H1
ægteskabsregistrator_NOUN dexterity_NOUN	X9.1+
gifte_VERB væk_ADV	I4/S2mf
ægtefælleboliger_NOUN *_NOUN ago_ADV	T1.1.1
gifte_VERB væk_ADV	N6+
kampsport_NOUN moons_NOUN ago_ADV	T1.1.1
marcipanfrugt_NOUN times_NOUN	N6+
map*_* {PRON/ADV/Np} kartoffelmos_NOUN	X6+ Q1.2
maskefremstilling_NOUN maker*_NOUN	W3/S2mf
massemarked_NOUN reading_NOUN	W3/Q1.2
march*_* {ADV} masseproduceret_ADJ	M1
massespektrometer_NOUN biologist*_NOUN	Y1/S2mf
massespektrometri_NOUN biology_NOUN	Y1
kirkegænger_NOUN engineer*_NOUN	M4/S2mf
våbenmester_NOUN engineering_NOUN	M4/Y1
masterplan_NOUN band*_NOUN	K2/G3c
matche_VERB op_ADV	M4/H1c
mark*_* {PRON/ADV/Np} materialevidenskab_NOUN	A5.1- I1.3-/A2.1 Q1.2
mark*_VERB {PRON/ADV/Np} up*_* morfar_NOUN	Q1.2 I1.3@
ventetøj_NOUN *_NUM	A4.1
barselsvikariat_NOUN down*_NOUN	I1.3-/A2.1
barselshospital_NOUN up*_*	I1.3+
barselsorlov_NOUN share_*	N5/I2.1
barselsafdeling_NOUN economies_NOUN	I2.2
maximiser_NOUN konto_NOUN	I2.2
må_AUX jeg_PRON tilføje_VERB	I2.2/H1c
kan_AUX lige_ADV så_ADV godt_ADV	I2.2 I2.2/M7
spisetid_NOUN research_NOUN	I2.1/X2.4
måltider_NOUN på_ADP hjul_NOUN	I2.2/H5
betyder_VERB meget_ADV	X2.4/I2.2mf
betyder_VERB meget_ADV	M7
indkomstprøve_NOUN agencies_NOUN	I2.2
middel_NOUN til_ADP et_DET mål_NOUN	I2.2c
afmåle_VERB {PRON/ADV/Np} up*_*	Q1.2 I1.3@
leve_VERB op_ADV til_ADP	Q1.2/S4
kødtærte_NOUN guidance_NOUN counsellor*_NOUN	S4/S2mf
kødspisning_NOUN licence*_NOUN	S4/Q1.2
ligvogn_NOUN registrar*_NOUN	G1.1/S2mf
marrie*_VERB {PRON/ADV/Np} maskiningeniør_NOUN	S4
maskinteknik_NOUN quarters_NOUN	H1/S4
mekaniske_ADJ tjenester_NOUN	S4
æresmedalje_NOUN art*_NOUN	K5.1
medievidenskab_NOUN fruit*_NOUN	F1
lægeerklæring_NOUN potatoes_NOUN	F1
medicinsk_ADJ tilstand_NOUN	C1
medicinske_ADJ historier_NOUN	N5+/I2.2
medicinsk_ADJ historie_NOUN	N5+
medicinsk_ADJ laboratorievidenskabelig_ADJ officer_NOUN	Y1
medicinsk_ADJ praktiserende_ADJ læge_NOUN	Y1
medicinsk_ADJ skole_NOUN	S9/S2mf
medicinske_ADJ videnskaber_NOUN	G3/S2m
medicinsk_ADJ behandling_NOUN	X7+
medicin_NOUN bold_NOUN	A6
middelalder_ADJ studier_NOUN	Y1
mellemstort_ADJ skib_NOUN	S4m
mellemstor_ADJ clothes_NOUN	B5/S4
mellemstor_ADJ cover_NOUN	I3.1/S4
overholde_VERB budgettet_NOUN	B3/H1c
mødes_VERB leave_NOUN	I3.1-/S4 T1.3/S4
mødes_VERB sammen_ADV	B3c
mødes_VERB på_ADP halvvejen_NOUN	I1.1
mega_ADJ bucks_NOUN	Z4
Mega_PROPN Drive_PROPN	A7+
mega_ADJ butik_NOUN	T1.3/F1
megaloman_NOUN on_ADP wheels_NOUN	F1
mean*_* sammenblande_VERB {ADV/ADJ} great_ADJ deal_NOUN	A11.1+
mean*_* afslappe_VERB {ADV/ADJ} lot_*	A11.1+
slappe_VERB af_PART	I1.1/X2.4
smelte_VERB ned_PART	X4.2
smelte_VERB sammen_PART	N3.1
smeltedigel_NOUN and_CCONJ potato_NOUN pie*_NOUN	F1
parlamentsmedlem_NOUN eating_*	F1
personale_NOUN waggon*_NOUN	M3
offentligheden_NOUN engineer*_NOUN	Y1/S2mf
medlemskort_NOUN engineering_NOUN	Y1
medlemspakke_NOUN services_NOUN	Y1
medal*_NOUN medlemsordning_NOUN honour_NOUN	O2/G3
medlemssekretær_NOUN studies_NOUN	Q4.3/P1
mindehøjtidelighed_NOUN certificate*_NOUN	B3/Q1.2
hukommelsesbank_NOUN condition*_NOUN	B2-
erindringshjælp_NOUN histories_NOUN	B2-
minder_NOUN history_NOUN	B2-
herretøj_NOUN laboratory_NOUN scientific_ADJ officer*_NOUN	B3/S2mf
mandesluger_NOUN practitioner*_NOUN	B3/S2mf
menstruationscyklus_NOUN school*_NOUN	B3/P1c
mental_ADJ alder_NOUN	B3/Y1
mental_ADJ blokering_NOUN	B3
mentalt_ADJ sammenbrud_NOUN	K5.1
mental_ADJ handicap_NOUN	P1/T1.1.1
psykisk_ADJ lidelse_NOUN	S9
mental_ADJ handicap_NOUN	N3.2
mental_ADJ sundhed_NOUN	N3.2
mental_ADJ sundhedspleje_NOUN	I1.1/N5+
psykisk_ADJ sundhedsproblem_NOUN	S3.1
mental_ADJ sundhedsarbejder_NOUN	S5+
mentalt_ADJ hjem_NOUN	S1.1.2+
mentalt_ADJ hospital_NOUN	I1.1+
psykisk_ADJ sygdom_NOUN	Y2
mental_ADJ institution_NOUN	I2.2/H1c
mental_ADJ sygeplejerske_NOUN	S1.2.3+/S2mf
mentalt_ADJ sted_NOUN	S5+
mental_ADJ retardering_NOUN	O4.2-/A2.1
mellow*_* {PRON/ADV/Np} mental_*	S1.2.1+/A2.1 X3.1
mentalt_ADV handicappet_ADJ	O4.6+
mentalt_ADV svag_ADJ	O4.6+ S5+
mentalt_ADV syg_ADJ	A6.3+
mentalt_ADV inkapaciteret_ADJ	G1.1/S2mf
mentalt_ADV retarderet_ADJ	I3.1/S2mf
member*_NOUN handelsflåde_NOUN the_DET public_*	S2mf
handelsbank_NOUN card*_NOUN	Q1.2/S5+
handelsbankmand_NOUN pack*_NOUN	Q1.2/S5+
handelssejler_NOUN scheme*_NOUN	S5+
fjolle_VERB rundt_ADV	S5+/S2mf
lege_VERB sammen_ADV	S9/L1-
spilde_VERB tid_NOUN	Y2
fjolle_VERB rundt_ADV	X2.2+
kludre_VERB op_ADV	T1.1.1
messe_NOUN 's_PART wear_NOUN	B5/S2.2
mødes_VERB eater*_NOUN	S3.2/S2.1f
mødes_VERB cycle*_NOUN	B1
mødes_VERB midtvejs_ADV	X1/T3
metalbearbejdning_NOUN block*_NOUN	X9.1-
metalpoleringsfabrikker_NOUN breakdown*_NOUN	B2-/X1
metalpoleringsfabrik_NOUN disabilit*_NOUN	B2-/X1
metalbearbejdning_NOUN disorder*_NOUN	B2-/X1
måleraflæsning_NOUN handicap_NOUN	S8-/X1
metodistpræst_NOUN health_NOUN	B2/X1
metoder_NOUN og_CCONJ midler_NOUN	B3/X1
methanol_NOUN health_NOUN problem*_NOUN	B2-/X1
denatureret_ADJ alkohol_NOUN	B3/S2mf
metrostation_NOUN home*_NOUN	B3/H1c
mikrocomputer_NOUN hospital*_NOUN	B3/H1c
mikroorganisme_NOUN illness*_NOUN	B2-/X1
mikrobølgemåltid_NOUN institution*_NOUN	B3/H1c
midten_NOUN nurse*_NOUN	B3/S2mf
midtvejs_ADV place*_NOUN	B3/H1c
midten_NOUN retardation_NOUN	B2-/X1
børnehaveklasse_NOUN unit*_NOUN	B3/H1c
midtlivskrise_NOUN defective_ADJ	B2-/X1
midten_NOUN af_ADP teenageårene_NOUN	S8-/X1
midt_ADV på_ADP eftermiddagen_NOUN	B2-/X1
Midtvesten_NOUN handicapped_*	B2-/X1
mellemklasse_NOUN ill_ADJ	B2-/X1
mellemvej_NOUN incapacitated_*	B2-/X1
mellemmand_NOUN retarded_ADJ	B2-/X1
mellemskole_NOUN navy_NOUN	M4c
midtpunkt_NOUN bank*_NOUN	I2.1c
midtervej_NOUN banker*_NOUN	I2.1/S2mf
midt_ADP i_ADP ingenting_NOUN	M4/S2m
mess*_* {ADV} midnatsblå_ADJ	A1.1.1 E4.1+
kan_AUX lige_ADV så_ADV godt_ADV	F1
kan_AUX godt_ADV	E4.1+ A12- A2.1+
mess*_* {PRON/ADV/Np} blid_ADJ	E4.1+ A12- A2.1+
milevidt_ADV væk_ADV	X9.2- A1.1.2
alt_DET for_ADP meget_ADV	M4/F1
militærskole_NOUN up_ADV	S1.1.3+
mælkedreng_NOUN {ADV} together_ADV	S5+
mælkebil_NOUN {PRON/ADV/Np} half_ADV way_ADV	S1.1.2+
mælkemand_NOUN bashing_NOUN	I4
mælkerute_NOUN polishing_NOUN factories_NOUN	I4/H1
dreje_VERB rundt_ADV	I4/H1c
dreje_VERB rundt_ADV	C1
flakke_VERB igennem_ADP	O3/X2.4
flakke_VERB rundt_ADV	S9/S2mf
mølleby_NOUN and_CCONJ means_NOUN of_ADP	X4.2
passe_VERB dine_DET egne_ADJ sager_NOUN	O1.2
passe_VERB butikken_NOUN	O1.2
overvældende_ADJ station*_NOUN	M3/M7c
dog_PART computer*_NOUN	Y2
sindet_NOUN er_VERB væk_ADJ	L2
overvældende_ADJ meal*_NOUN	F1
udvidende_ADJ *_NUM	T3
sind_NOUN som_ADP en_DET sommerfugl_NOUN	M6 N5.1-
udfordrende_ADJ *er_NOUN	T1.2
minefelt_NOUN infant_NOUN school*_NOUN	P1/H1c
mineralvand_NOUN life_NOUN cris*s_NOUN	E6-/T3+
minicomputer_NOUN teens_NOUN	T3
minikjole_NOUN afternoon_NOUN	T1.2
mininederdel_NOUN West_NOUN	M7
smådyr_NOUN class*_NOUN	S5+c
minibus_NOUN ground_NOUN	G1.2
miniliga_NOUN m*n_NOUN	S1.1.1/S2mf
mini_ADJ marked_NOUN	P1/H1c
mini_ADJ verdensmesterskab_NOUN	T1.2
mine_NOUN by_NOUN	N5 M6
religionsminister_NOUN of_ADP {ADJ/INTJ} nowhere_ADV	M6
minister_NOUN for_ADP mad_NOUN og_CCONJ national_ADJ registrering_NOUN	O4.3
mindre_ADJ isolation_NOUN	A7+
mynte_NOUN sauce_NOUN	A7+
halvandet_NUM minut_NOUN	E3+
mirror_NOUN joller_NOUN	N3.3+ X5.1-
mirror_NOUN jolle_NOUN	N5.2+
spejl_NOUN billede_NOUN	P1/G3c
justitsmord_NOUN boy*_NOUN	F2/S2.2m
miserabel_ADJ som_SCONJ synden_NOUN	M3/F2
gå_VERB glip_ADV af_ADP båden_NOUN	F1/S2.2m
misforstå_VERB pointen_NOUN	F1/I2.2 I3.1
mill*_* udelade_VERB	M1
gå_VERB glip_ADV af_ADP	M1
